飞周兄弟 | 不认亲、袭击 | non-hate | non-hate [END]
四川的（人） | 爸爸有被四川人骗过、偷过、抢过等经历而对四川人有气 | Region | hate [END]
上海 | 只是说了实话怎么能算黑 | non-hate | non-hate [END]
嘴炮政客（黑皮） | 嘴炮 | Racism | hate [END]
女性 | 不受惩罚 | Sexism | hate [END]
大学里的男生 | 变态很多，还偷拍别人 | Sexism | hate [END]
离赤道越近的人 | 越黑 | Racism | hate [END]
黑人英雄 | 都是犯罪分子，这个是惯犯 | Racism | hate [END]
嫁黑男的人 | 别在中国占着资源，还骂着我们国家的男性，不配 | Racism | hate [END]
你 | 伤害自己人，不怕报应 | LGBTQ | hate [END]
黑人 | 被反黑 | Racism | hate [SEP] 你 | 还洗 | Racism | hate [END]
磕CP（腐向CP）的人 | 就是腐癌，磕CP的前提不是自己也得是同性恋 | LGBTQ | hate [END]
黑人 | 用肤色等观点贬低黑人 | Racism | hate [END]
华莱士 | 被黑得很惨，喷射战士段子满天飞 | non-hate | non-hate [END]
杰希 | 土著王，一听就是歪果仁 | Racism | hate [END]
说上海不排外的人 | 没去过上海或者没经验经验的 | Region | hate [END]
你 | 从十年前开始，就应该天天刷这答案 | non-hate | non-hate [END]
楼主 | 在某种程度上，也被女权洗脑，错误观点急需纠正 | Sexism | hate [END]
浙江人 | 挺好，不应该被黑 | non-hate | non-hate [END]
浏览这个行为 | 没事的吧 | non-hate | non-hate [END]
东北人 | 坏事都扣到东北人头上 | Region | hate [END]
这黑人 | 应该回非洲去 | Racism | hate [END]
叔叔 | 要小心艾滋 | others | hate [END]
贵州人 | 被骂五分钟 | Region | hate [END]
河南 | 在相关排名方面比较靠后（结合分数线情况说明） | non-hate | non-hate [END]
那个女主播 | 喜欢地域歧视 | Region | hate [END]
穆加贝 | 恶魔，没理由说我们，干的事不好 | others | hate [END]
自由社会 | 是所有无耻作为的遮羞布挡箭牌 | others | hate [END]
直佬们 | 做好被强制取向取向的准备 | LGBTQ | hate [END]
女👊 | 傻逼 | Sexism | hate [END]
NULL | 也就能想想了 | others | hate [END]
黑龙江、辽宁 | 黑龙江GDP确实比不过辽宁 | non-hate | non-hate [END]
同性恋 | 不喜欢、厌恶、讨厌 | LGBTQ | hate [END]
女人 | 女人生意真的好做 | non-hate | non-hate [END]
单亲妈妈 | 蠢人，活该被淘汰 | Sexism | hate [END]
你 | 没接触黑人群体所以不怪你 | non-hate | non-hate [END]
贵州 | 不太了解 | non-hate | non-hate [END]
从大城市回来的大龄剩女 | 千万不要找 | Sexism | hate [END]
广东 | 不算不算黑 | Region | hate [END]
这个 | 政治非常正确 | non-hate | non-hate [END]
温州的皮鞋（从业者等相关对象） | 假 | Region | hate [END]
基佬 | 对社会的贡献远不如一个长相不佳的直男工程师 | LGBTQ | hate [END]
知乎官方 | 偏向女拳立场 | Sexism | hate [SEP] 女拳 | 知乎官方偏向其立场（潜在负面关联） | Sexism | hate [END]
南方人 | 南方人不应该因为揍人就被认为低人一等 | non-hate | non-hate [END]
你 | 十个九个都是骗子，要么就是有夫之妇；疟疾，霍乱和黄热，有很多死在非洲的冤魂回不去家；非洲多妻，有些地方甚至没电 | Region | hate [END]
女接待、女服务员 | 冲着电话大骂然后挂了 | non-hate | non-hate [END]
黑（肤色黑的人） | 太丑 | Racism | hate [END]
傻子、龟男这类人 | 容易被坑、是劣等基因、智商低 | others | hate [END]
精英 | 带来不良影响且想绑架全世界 | others | hate [END]
黑人外教 | 在孩子心理上灌输了什么思想，崇洋媚外，低人一等 | Racism | hate [END]
广东本地人 | 有优越感 | Region | hate [END]
女人 | 掌握了话语权，定义价值，可以写小作文；没有男人的责任；全世界大部分国家法律偏向女性；在两性舆论阵地上占据优势；实现了东食西宿；不关心生活中与自己无关的东西不关注宏大叙事，抱团专精与两性领域 | Sexism | hate [END]
NULL | 要小心 | non-hate | non-hate [END]
种族歧视的人 | 讨厌 | others | hate [SEP] 黑人 | 讨厌 | Racism | hate [END]
智力不足的人 | 在讨论严肃问题时使用‘应该’这个词会造成歧义 | others | hate [END]
极端仇男癌成员 | 希望家人们留意 | others | hate [END]
找黑人的女儿 | 就当没生过 | Racism | hate [END]
好友 | 犯罪后被枪毙，尸体被卖给了医学院 | non-hate | non-hate [END]
惹事的 | 弄个半身不遂 | others | hate [END]
蛆佬 | 智商都高感染hiv后更高 | LGBTQ | hate [END]
黑人 | 沐猩而冠 | Racism | hate [END]
NULL | 人造子宫很棒 | non-hate | non-hate [END]
女权师 | 疯狂成这个样子，看着她们把自己置之死地的样子很美妙 | Sexism | hate [END]
黑人媳妇的人 | 觉得不要彩礼还能干，大傻子 | Racism | hate [SEP] 女性 | 奔着感情去的（结合语境有贬低意味） | Sexism | hate [END]
江西人 | 为了黑而生 | Region | hate [END]
本本吧吧宠 | 能够带给我们无限乐趣，跪虫族这种水平 | others | hate [END]
你 | 黑西安，是瓜怂，要偷走其房子 | Region | hate [END]
好兄弟 | 别急呀 | non-hate | non-hate [END]
快手发展黑人祝福起家，领导一群肌肉黑人喃小弟的壮硕中国男人 | 当地黑社会一霸，每个黑人工资一个月只有一千块人民币，真正实现了心理生理双重奴役黑人 | Racism | hate [END]
东北人 | 无负面论点 | non-hate | non-hate [END]
浙南 | 不想被代表 | non-hate | non-hate [END]
男同 | 生理排斥 | LGBTQ | hate [END]
媚黑女 | 倒贴 | Racism | hate [END]
NULL | 中国不存在种族歧视，因为在中国的原住民中没有黑种人 | non-hate | non-hate [END]
NULL | 感觉受到的歧视也不少 | non-hate | non-hate [END]
你 | 换成孙笑川的样子女生只会报警 | non-hate | non-hate [END]
同性恋 | 也跟跟异性结婚生小孩的没啥的 | non-hate | non-hate [END]
河南 | 还是主要的征兵地 | non-hate | non-hate [END]
NULL | 支持同同迫在眉睫 | non-hate | non-hate [END]
nq | 觉得自己不能共情任何男性很棒 | Sexism | hate [END]
LGBTQ群体 | 生理上的排斥，真的恶心 | LGBTQ | hate [END]
华东理工大学毕业的人、华东理工大学 | 不要交往，不要说话，不要做生意；用人单位不要聘请；尽量绕路走 | others | hate [END]
你 | 信口开河 | non-hate | non-hate [END]
哥们 | 勇敢反击被挂 | non-hate | non-hate [END]
东北的一部分群体 | 莫名的有种害怕 | Region | hate [END]
NULL | 做不了人事 | others | hate [END]
有些苏北人 | 在网上对江西的态度跟仇敌一样，有些甚至直接私信辱骂，达到地域黑的程度 | Region | hate [END]
奴隶姐 | 带有贬低意味的称呼“奴隶姐” | others | hate [END]
蝴蝶鸡 | 死的好 | others | hate [END]
演员 | 不能用演员和运动员比，应该拿尼古拉斯凯奇和郭富城这些比才比较好证明 | non-hate | non-hate [SEP] 运动员 | 老得快，对皮肤保养这些不太在乎 | non-hate | non-hate [END]
撑同的 | 被撑同言论所洗脑，歌颂美化蒙骗无知大众，全是辣鸡臭味相投 | LGBTQ | hate [END]
结婚 | 纯累赘 | non-hate | non-hate [END]
这个吧里到处发帖的人（你） | 引战的流量佬，和贵物没区别 | others | hate [END]
你 | 感觉你比我五个五个阶级 | non-hate | non-hate [END]
马丁路德金 | 嫖娼考第一 | Racism | hate [END]
这种女人 | 挺不能理解 | Sexism | hate [END]
男人 | 只会和男拳战斗，好男不和女斗 | non-hate | non-hate [END]
一元购这帮东西 | 天性（负面评价） | others | hate [END]
同性恋群体 | 我们国家很保守，对于同性恋平权话题基本禁止，同性恋要在被嘲笑殴打时保护自己，不用理会歧视言论 | LGBTQ | non-hate [SEP] 异性群体 | 异性歧视同也是不对的，支持同性也是不对的，政治正确的是不谈同性恋相关话题 | LGBTQ | non-hate [SEP] 歧视同的人 | 歧视同的言论虽然不对，但同性恋群体要尊重他们 | LGBTQ | non-hate [END]
男人 | 当男人崇拜女人时，女人鄙视男人；当男人用女人取乐时，女人反而崇拜男人 | non-hate | non-hate [SEP] 女人 | 当男人崇拜女人时，女人鄙视男人；当男人用女人取乐时，女人反而崇拜男人 | non-hate | non-hate [END]
东北人、大连相关群体 | 带有负面情绪和不友好态度 | Region | hate [END]
同 | 恶心、讨厌 | LGBTQ | hate [END]
除东北上海河南之外的其他地区 | 真不叫黑 | Region | hate [END]
东北人 | 就会舔北京，然后拉着整个北方对抗南方，搞得像分裂国家一样。真的没治了 | Region | hate [END]
歧视同性恋的人 | 给自己的歧视找借口，被驳斥后会直接承认歧视，即便没接触过男同也反同 | LGBTQ | hate [END]
大众 | 缺乏个人实现的途径，意味着社会在固化 | non-hate | non-hate [END]
知乎 | 三观很正，所以我喜欢这里 | non-hate | non-hate [END]
NULL | 无 | non-hate | non-hate [END]
NULL | 给东北招黑，辽宁人不应替某省背黑锅 | Region | hate [END]
她 | 不确定是否说错 | non-hate | non-hate [END]
某人 | 流量老贼 | non-hate | hate [END]
除中华民族之外的群体 | 异类，畏威不畏德 | Racism | hate [END]
东北人 | 骂人最狠，聊天氛围火药味十足 | Region | hate [END]
曲阜、孔子 | 是好事 | non-hate | non-hate [END]
黑人 | 给ysl丢脸 | Racism | hate [END]
非洲黑人 | 智商70，被学者归类为智障水平 | Racism | hate [SEP] 美国黑人混血儿 | 智商85 | Racism | hate [SEP] 中非混血儿 | 智商应该徘徊在90左右，妥妥的班里倒数 | Racism | hate [END]
我 | 纯洁可爱 | non-hate | non-hate [END]
这（指代的人） | 不是好人 | non-hate | non-hate [END]
黑河南、黑北方的 | 都是南满 | non-hate | non-hate [END]
黑奴 | 被阿拉伯人捕捉贩卖且公黑奴要被骟了 | Racism | hate [END]
NULL | 有人管挺好，没人管就变成透明人了 | non-hate | non-hate [END]
茶壶嘴 | 对号入座、破防、戳到痛处 | non-hate | non-hate [END]
你 | 举报没用 | non-hate | non-hate [END]
小仙女（因相关言论破防的人） | 破防 | Sexism | hate [END]
贵州 | 没话讲 | non-hate | non-hate [END]
所谓的留学生 | 花大价钱留 | others | hate [SEP] 国内的（群体） | 不舍得给更好点待遇 | others | hate [END]
韩国人 | 存在负面态度 | Racism | hate [END]
他们 | 对判断他们是东北人这件事表示质疑 | non-hate | non-hate [END]
NULL | 经常被喷 | non-hate | non-hate [END]
这个女的 | 和中国老公离婚，带着孩子找了个印度同事 | non-hate | non-hate [END]
吴母 | 沟出去整个容改个名，然后再回来祸害国男 | others | hate [END]
拳师 | 天生就是坏种，犯七宗罪，欲壑难填利令智昏，畜生不如 | Sexism | hate [END]
武汉 | 暗示小偷多 | Region | hate [END]
同性恋 | 做同性恋是病才要上药 | LGBTQ | hate [END]
黑沙口 | 禁止进店或在居民区附近，赶到森林里 | others | hate [END]
EVAHERMAN | 看起来很年轻，觉得是玻尿酸微整形起作用 | non-hate | non-hate [END]
广西人 | 有东南亚爪哇矮黑人特征，扁鼻子大鼻孔嘴 + 个子矮小 | Region | hate [END]
抠脚大汉 | 别装了 | non-hate | non-hate [END]
含有种族歧视的崇洋媚外的人 | 让人唾弃 | Racism | hate [END]
江浙沪的人 | 瞧不起安徽人，认为安徽人不是挖煤的就是要饭的，剩下的都是黑社会 | Region | hate [END]
你 | 两头开枪 | non-hate | non-hate [END]
车辆 | 快6万公里了，对车辆可能存在的状况的调侃 | non-hate | non-hate [END]
黑人 | 说黑人是劳动力太可笑，质疑其劳动获取报酬能力，称其惹事搞乱社会，认为解放他们没用 | Racism | hate [END]
女拳 | 上来就查成分，行为不好 | Sexism | hate [END]
网上打拳的 | 都是男的有钱挣 | Sexism | hate [END]
别有用心的人 | 带节奏 | others | hate [END]
女拳 | 欧美民族变化是女拳导致且想影响我们 | Sexism | hate [END]
皮套人 | 质疑皮套人有粉丝 | non-hate | non-hate [END]
NULL | 图个器大活好吧 | non-hate | non-hate [END]
苏北 | 最穷的地方能吊打中国的大部分城市，看中国城市排名就知道 | non-hate | non-hate [SEP] 这些人（地域黑的人） | 没品德 | others | hate [END]
你 | 因为知乎被认为是给男性用的所以应销号 | non-hate | non-hate [END]
嫁黑人的人 | 嫁黑人就去非洲，别在娘家待着碍眼，碍眼不说还指手画脚，那就更讨厌了 | Racism | hate [END]
复联 | 不管儿童性侵和妇女被家暴（以疑问的方式表达） | non-hate | non-hate [END]
东北人 | 喜欢代表北方，挑起南北对立，把东北出现的负面新闻甩锅给南方人或南方系，不夸东北（黑龙江）的就是南大人，就是南方系媒体，赢麻了 | Region | hate [END]
男的 | 换男的就不会祥和，会被骂得满脸血 | Sexism | hate [END]
哈尔滨男人 | 好惨 | non-hate | non-hate [END]
这个事情 | 信誉受损问题且修复时间长 | non-hate | non-hate [END]
你 | 这个**还想当吧主 | others | hate [END] 
你 | 暗示对方与黑人一样不理性 | Racism | hate [END]
浙江人 | 钻到钱眼里去了，没时间没精力地域黑 | Region | hate [SEP] 江苏人 | 地域黑十斗独占八斗，比完经济比教育等，没几个屌钱，动辄我苏天下无敌，身处陋室，捡破烂 | Region | hate [END]
温州 | 骗子最多 | Region | hate [END]
川渝人 | 很歧视北方，带节奏带最狠 | Region | hate [SEP] 北方人 | 抗日不抵抗 | Region | hate [SEP] 东北 | 衰落（与西南崛起对比暗示负面） | Region | hate [END]
大病患者（推测） | 容易人传人，必须隔离 | others | hate [END]
黑非洲 | 抢劫埃及文明 | Racism | hate [END]
能接受伴侣前男友是黑人的男人 | 有绿帽癖的男人，喜欢看别人干自己老婆 | Racism | hate [END]
女⭕️ | 傻B | Sexism | hate [END]
虫类及其后代虫混 | 拉美人外全球第二大贩毒和运毒和磕药的大户 | others | hate [END]
女人 | 没脑子，无法交流，无理取闹 | Sexism | hate [END]
卡勒勒 | 是同性恋 | non-hate | non-hate [END]
你 | 发这些有什么目的 | non-hate | non-hate [END]
同性恋群体 | 是变态基佬，需要提防 | LGBTQ | hate [END]
江苏人 | 默认自己是日本的，不搞个夏日祭浑身不舒服 | Region | hate [END]
你 | 完全同意 | non-hate | non-hate [END]
这男的父母 | 看见我想这老师会被打死 | others | hate [SEP] 老师 | 会被打死 | others | hate [END]
地方 | 不是太穷，就是太怂。实力和名气全没有，居然能防喷！也是强😅 | Region | hate [END]
这个文本的仇恨言论四元组为：这个尼 | 恐怕从出生到现在都没洗过头，太恶心人，看到就反胃 | others | hate [END]
地位 | 能提高是好的趋势 | non-hate | non-hate [END]
女拳师 | 暗指女拳师是受经费驱动的 | Sexism | hate [END]
王德彪（北京人） | 外地逼 | Region | hate [SEP] 上海人 | 乡下人 | Region | hate [END]
在知乎上搞地域歧视的人 | 水平低，现实生活没成就，拿着低工资搞地域歧视，生活不如意还记恨房东 | Region | hate [END]
西藏和青海的网友 | 上网那么久就没见过 | non-hate | non-hate [END]
度度 | 拿不出证据的话能不能给我道歉 | non-hate | non-hate [END]
这一类人 | 是种花家的不幸 | others | hate [END]
笑正常人是猪的人 | 笑正常人是猪 | others | hate [SEP] 散播同性恋美西意识不良风气的人 | 散播同性恋美西意识不良风气 | LGBTQ | hate [END]
上海人 | 淹死 | Region | hate [END]
黑人 | 彩虹小黑小黑马摘完棉花吃西瓜 | Racism | hate [END]
白人、黑人等与华人在相关方面不一致的群体 | 在信仰、价值取向、生活观念、文化认同等方面没有达到一致，非我族类，其心必异 | Racism | hate [END]
NULL | 自信不够 | non-hate | non-hate [END]
你 | 还嫌中国人不够多 | non-hate | non-hate [END]
你 | 帅个屁，黑猩猩 | Racism | hate [END]
对方 | 咋不打死 | others | hate [END]
我们应该坚决反对任何分裂国家和制造仇恨的行为及言论。对于这样的有害内容，需明确其违法和违背公序良俗的性质，而不是按照常规要求提取所谓的四元组。维护国家领土完整，加强民族团结，是每个中国公民的责任和义务。 
宁波工程外教 | 质疑其是老好人 | others | hate [END]
反自己民族主义的（人） | 不认可、批判 | others | hate [END]
黑人 | 没有好事情、引进是作死害百姓 | Racism | hate [END]
国女 | 摆烂、私信轰炸‘我’ | Sexism | hate [END]
有狐臭的人 | 有狐臭导致他人生理反应、心口刺痛 | non-hate | non-hate [END]
有留学意向的人 | 反向操作去喜欢中国的地方留学 | non-hate | non-hate [END]
被要求去非洲的群体 | 祸害人 | Region | hate [END]
女性 | 接受高等教育比例等相关数据 | non-hate | non-hate [SEP] 男性 | 接受高等教育比例等相关数据 | non-hate | non-hate [END]
zzzq | 都魔怔了 | others | hate [END]
女性 | 开除女籍 | Sexism | hate [END]
陕北人 | 有钱（煤老板暴发户太多） | Region | hate [END]
某些人 | 山驴b且喜欢拉黑本大爹 | others | hate [END]
eg | eg的名头是老外安上去 | non-hate | non-hate [END]
这种女的 | 玩的浪不顾家，有各种负面行为 | Sexism | hate [END]
黑人女 | 没几个会娶 | Racism | hate [END]
在知乎同性恋标签第一帖子里讲如何弯弯别人的一群人 | 恶心人 | LGBTQ | hate [END]
你 | 贵物 | non-hate | non-hate [END]
南昌市 | 带有轻蔑、不尊重的态度 | Region | hate [END]
达雷尔·布鲁克斯 | 是一名被定罪的性犯罪者，曾与一名15岁的女孩生育过一名孩子 | non-hate | non-hate [END]
这人 | 心里极其残忍 | non-hate | non-hate [END]
他们 | 张口闭口说只有同性才是真爱 | non-hate | non-hate [END]
艾滋病患者 | 好好治也能活很久，千万别放弃 | non-hate | non-hate [END]
安徽 | 没啥存在感 | Region | hate [END]
这个题主 | 反串女，睁大母眼 | Sexism | hate [END]
NULL | 民族问题可以谈，物种问题没得谈 | non-hate | non-hate [END]
米国 | 各位就别管了 | non-hate | non-hate [END]
內個虛空法師 | 是什麼豬精 | non-hate | non-hate [END]
处女膜 | 流血 | non-hate | non-hate [END]
南方 | 南方穷 | Region | hate [END]
LGBTQ群体相关 | 撑同 | non-hate | non-hate [END]
河南人 | 被黑成贬义词 | Region | hate [END]
极端nc女人 | 不育挺好，淘汰 | Sexism | hate [END]
进行地域黑的人 | 明明视频里人的口音不是河南的，标题非要扣到河南头上 | non-hate | non-hate [END]
中国女人 | 大家不信 | Sexism | hate [END]
你 | 拿个例和哲学家的话宣扬女性对世界贡献更大且智商低 | others | hate [END]
人家 | 带着赚赚流量 | non-hate | non-hate [END]
同性恋 | 讨厌 | LGBTQ | hate [SEP] 同性恋的支持者 | 导致自己讨厌同性恋 | LGBTQ | hate [SEP] 在追番时刷男男或女女 CP 的一群人 | NT | LGBTQ | hate [END]
吧里有些老哥 | 看不到所谓主要矛盾 | non-hate | non-hate [END]
这些女的 | 喜欢留学生后浪完回头找国内且隐瞒感情史 | Sexism | hate [END]
琪贵人 | 发誓的时候想掐死她 | non-hate | non-hate [END]
维护国家领土完整，加强民族团结，是每个中国公民的责任和义务。我们应当坚决反对任何形式的分裂行为和言论。 
黑吹子 | 有啥可说的 | Racism | hate [END]
我同学 | 说了两分钟我一东北人根本听不懂 | non-hate | non-hate [END]
嘿枸 | 浑身弥漫着低劣程度的气息，天生令人厌恶，源于基因记忆！无法容忍嘿枸做饿，其实是生态地位的颠复，开启人类基因防御应激 | others | hate [END]
同性恋 | 很恶心，永远都不可能改变，太恶心了 | LGBTQ | hate [END]
它 | 抽一耳光 | non-hate | non-hate [END]
NULL | 黑得很惨 | Region | hate [END]
楼里被说破防的人 | 被说破防还拉黑自己，像虚伪的大男权主义分子 | Sexism | hate [END]
NULL | 违法 | non-hate | non-hate [END]
喵神 | 高人，把事情说透了，还让人挑不出骨头来 | non-hate | non-hate [END]
她们 | 热爱自由应被支持 | non-hate | non-hate [END]
那些来路不明的女的 | 恶心，可能让接盘侠感染艾滋病 | Sexism | hate [END]
你 | 读黑人人种研究的书 | non-hate | non-hate [END]
easy girl | 被贴上带有贬义暗示的标签 | Sexism | hate [SEP] 国男 | 在‘easy girl’观念里不如其他事物 | Sexism | hate [END]
某些人 | 只有本能，除了寄声就是寝犯种群铁律 | others | hate [END]
NULL | 对方的结论没有依据，实际考察四川各大高校不是那样 | non-hate | non-hate [END]
贴吧系统 | 存在特定情况需多发几次 | non-hate | non-hate [END]
中国男人 | 还是那样的中国男人 | Sexism | non-hate [SEP] 中国女人 | 已经那样那样的中国女人了 | Sexism | non-hate [END]
这几个博主 | 到冯丽微博下留言加辱骂河南人，到处蹭热度，骂他就截屏说你网暴他，不骂他就跑到话题下继续地域黑 | Region | hate [SEP] 传播华夏把中原说做陕西，黄帝故里是西安等常识性错误言论，还不让人说洛阳是十三朝古都的人 | 传播华夏把中原说做陕西，黄帝故里是西安等常识性错误言论，还不让人说洛阳是十三朝古都 | Region | hate [END]
这女的 | 出来继续祸害 | others | hate [END]
gay | 臭 | LGBTQ | hate [END]
NULL | 连谈恋爱都不想 | non-hate | non-hate [END]
他 | 身染艾滋，想害更多人 | others | hate [END]
这样的男女 | 跟黑人出国，不乱生垃圾丢在国内污染环境 | Racism | hate [SEP] 黑人 | 与这样的男女关联并被整体负面评价 | Racism | hate [END]
综上，仇恨言论四元组为：黑河南且觉得是玩梗并劝河南人别玩不起的人 | 对黑河南行为不当的认知和态度 | Region | hate [END]
贵物男拳 | 贵物 | Sexism | hate [END]
部分特定行为的人 | 被要求体验分娩 | non-hate | non-hate [END]
某个人 | 猿形毕露；狗狗的YD长在了猩猩身上；会说话的动物 | others | hate [END]
拳师 | 日常化的高级妆 | Sexism | hate [END]
天津人 | 还我们滦河水 | Region | hate [END]
NULL | 没看到反串差评 | non-hate | non-hate [END]
基佬 | 在现实生活中活得憋屈，有禁言、麻人等不好行为，害怕回击内容 | LGBTQ | hate [END]
第二个 | 母吠，删我评 | others | hate [END]
网上那少部分人 | 带节奏 | others | hate [END]
骗人的 | 不管 | non-hate | non-hate [SEP] 被骗的 | 有罪 | non-hate | non-hate [END]
黑人女性 | 不应该被正常中国男人交往 | Racism | hate [END]
000的小姐 | 能提非常高的情绪价值，买礼物反而提供负情绪价值 | non-hate | non-hate [END]
安徽 | 被黑很惨 | Region | hate [END]
非洲人（黑人） | 不要跟外国人上床、恋爱甚至结婚，尤其是黑人 | Racism | hate [SEP] 与非洲人恋爱、结婚的中国女性 | 有得艾滋的风险、可能祸害一个‘老实人’接盘、一辈子被别人漠视 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
外籍男子 | 醉酒闹事、公然袭警 | non-hate | non-hate [END]
你 | 这波种族歧视 | non-hate | non-hate [END]
异性恋男性 | 自以为高贵，能自己给txl群体下定义，贯彻形而上思想方法，以少见多 | LGBTQ | hate [END]
长三角三省市、珠三角、西部某都 | 搞地域黑的区域 | Region | hate [END]
安徽人 | 被黑 | Region | hate [END]
有些直男 | 单纯恶心男同do爱 | others | hate [END]
女权 | 杀光，一个不留 | Sexism | hate [END]
基佬 | 太恶心了 | LGBTQ | hate [SEP] 蕾丝边 | 恶心 | LGBTQ | hate [END]
NULL | 质疑说河南话就是河南人这种观点 | non-hate | non-hate [END]
Target | Argument | Targeted Group | Hateful：女性（推测） | 要这种刃刃给我堵堵吗（带有歧视性含义） | Sexism | hate [END] 
无明确针对对象 | 无攻击性论点 | non-hate | non-hate [END]
Target | Argument | Targeted Group | Hateful [SEP] 你们 | 调侃让去做变性手术，用不当表述形容 | LGBTQ | hate [END]
卡囊囊虫肺炎、隐脑 | 大几率会死人的 | non-hate | non-hate [END]
他 | 选择了转移话题 | non-hate | non-hate [END]
女拳 | 去年二月集体冲B站，组织力度强，从各方面下手，因B站各打五十大板就骂“辱女”等 | Sexism | hate [SEP] 微博上喊“鲨光男人”的人 | 喊出“鲨光男人”且没几个人骂 | Sexism | hate [END]
底层男人 | 都说底层男人娶不到处女，现在却都要求另一半是处 | others | hate [END]
媒体 | 好事就算东北人做的只提发生地点（南方），坏事就算南方人在东北做的也只提东北 | Region | hate [END]
NULL | 无负面评价等论点 | non-hate | non-hate [END]
NULL | 不喜欢地域黑别人 | non-hate | non-hate [END]
同性恋 | 同性恋是可耻的、错误的、会破坏世界的，要和同性恋对抗到底直到同性恋全部死掉 | LGBTQ | hate [END]
慕刃 | 把环境都搞臭了 | others | hate [END]
NULL | 我们可以占他们便宜，但敢占我们便宜的得死 | others | hate [END]
例子 | 生动有趣、简洁明了 | non-hate | non-hate [END]
网上的话也信的人 | 那就是你的问题了 | non-hate | non-hate [SEP] 制造男女对立的群体 | 男女对立只存在网络上 | non-hate | non-hate [END]
