飞周兄弟 | 还不认亲？ | Region | hate [END]
天津以北 | 冀东辽西 | non-hate | non-hate [END]
她们 | 华夏的土地不能被墨污染 | Sexism, Racism | hate [END]
不小的群体 | 你攻击他们去啊 | non-hate | non-hate [END]
你 | 混血 | non-hate | non-hate [END]
黑人 | 排名下降了 | Racism | hate [END]
中国 | 重返世界第一得地位 | non-hate | non-hate [END]
氙钕 | 怕事情败露自己删了吧 | Sexism | hate [END]
黑人 | 占领中国全靠生 | Racism | hate [END]
nv拳 | 最大的敌人是谁吗？是亲子鉴定，是基因技术 | Sexism | hate [END]
普通女性 | 占女性总人口的比例还是太少了 | Sexism | hate [SEP] 女拳、媚外的 | 占了绝大多数🤣 | Sexism, Racism | hate [END]
大胸妹 | 精神茶党 | Sexism | hate [END]
猩猩 | 之间的交配有什么稀奇的 | Racism | hate [END]
你 | 为什么要管白人的感受呢 | non-hate | non-hate [END]
女的 | 很娇贵 | Sexism | hate [SEP] 女的 | 集群群殴 | Sexism | hate [END]
你 | 一看就是江苏的 | non-hate | non-hate [END]
南方人 | 对东北人的歧视是根深蒂固的 | Region | hate [END]
默囧 | 重点是视频里还不是同一个默囧 | Racism | hate [END]
混血 | 混了白皮猪的血 | Racism | hate [END]
NULL | 不是爱不爱的问题是干净与否的问题 | non-hate | non-hate [END]
东北人 | 默不作声 | non-hate | non-hate [END]
黑蛆 | 了解黑蛆事关生死 | Racism | hate [END]
有些女的 | 喜欢玩新鲜感 | Sexism, Racism | hate [SEP] 墨人 | 有劲还带艾滋 | Racism, others | hate [END]
北方人 | 被南方人叫侉子 | Region | hate [END]
黑人 | 恶心人 | Racism | hate [END]
一群母狗 | 什么事做不出来 | Sexism | hate [END]
你 | 一文不值 | non-hate | non-hate [END]
四川的 | 我爸现在提到四川的都是一股气 | Region | hate [END]
舔狗龟男 | 没有能力当我们的队友 | Sexism | hate [END]
法国 | 每年60%的新生儿是非婚生子女 | non-hate | non-hate [END]
你 | 歪理邪说还编的津津乐道呢？ | non-hate | non-hate [END]
河北 | 偷井盖是事实 | Region | hate [END]
战士 | 不分性别 | non-hate | non-hate [END]
黑人 | 外人 | Racism | hate [END]
上海 | 只是说了实话怎么能算黑 | Region | hate [END]
黑皮 | 需要那么多嘴炮政客？还是黑皮。 | Racism | hate [END]
女性 | 不受惩罚 | non-hate | non-hate [END]
男生 | 变态很多呀，还偷拍别人 | Sexism | hate [END]
这货 | 删帖了 | non-hate | non-hate [END]
黑人 | 太黑了，大家不太喜欢 | Racism | hate [END]
你 | 输出racial discrimination观念 | Racism | hate [END]
公司外派在唐山上了三年班 | 人们都很亲切👍👍 | non-hate | non-hate [END]
金庸 | 大师 | non-hate | non-hate [END]
仙女营销号 | 破防 | Sexism | hate [END]
离赤道越近的人 | 越黑 | non-hate | non-hate [END]
黑人英雄 | 犯罪分子 | Racism | hate [END]
黑男 | 你，不配 | Sexism, Racism | hate [END]
你 | 基佬 | LGBTQ | hate [END]
黑河南 | 只是玩梗 | non-hate | non-hate [END]
黑人 | 犯罪领域 | Racism | hate [END]
女厕所 | 数量多于男厕所 | non-hate | non-hate [SEP] 男厕所 | 多于女厕所是违法滴 | non-hate | non-hate [END]
黑女 | 乱性 | Sexism, Racism | hate [END]
JATOO | 食神 | non-hate | non-hate [END]
黑人 | 喜欢 | Racism | hate [END]
黑人吧 | 早被我们反黑站了 | Racism | hate [END]
腐癌 | 磕CP的前提不是自己也得是同性恋 | LGBTQ | hate [END]
黑人 | 没见过黑人去选美的 | Racism | hate [END]
老黑 | 一直没把老黑当老大 | Racism | hate [END]
女人 | 无耻透顶 | Sexism | hate [END]
乱性艾滋病 | 隐藏在后面 | LGBTQ, others | hate [END]
你们 | 地域黑 | Region | hate [END]
贴吧的审核 | 要是没有慕刃，我把手机吃下去 | Sexism | hate [END]
北欧 | 一群炼铜海盗 | Region | hate [END]
艾滋病 | 要你命 | others | hate [END]
华莱士 | 被黑得很惨 | non-hate | non-hate [END]
杰希 | 歪果仁 | non-hate | non-hate [END]
上海 | 不排外的都是没去过上海或者没生活经验的 | Region | hate [END]
你 | 应该天天刷这答案 | non-hate | non-hate [END]
黑皮白皮 | 人上人 | Racism | hate [END]
舔狗 | 恶毒的男淫 | Sexism | hate [END]
男生 | 180以下就是残疾 | Sexism | hate [END]
你 | 东北人 | non-hate | non-hate [END]
你 | 希望你被女的传染 | non-hate | non-hate [END]
txl | 直接煽风点火孤立*** | LGBTQ | hate [END]
女权 | 错误观点急需纠正 | Sexism | hate [END]
浙江人 | 挺好的 | non-hate | non-hate [END]
浏览 | 是没事的吧 | non-hate | non-hate [END]
东北人 | 任何坏事，都扣到东北人头上 | Region | hate [END]
社会资源 | 充足就导致个体女人产生了不需要个体男人的错觉 | non-hate | non-hate [END]
NULL | 十有八九是领美刀的 | Sexism | hate [END]
说这些的 | 肯定有问题 | non-hate | non-hate [END]
他 | 反同态度吗？ | LGBTQ | hate [END]
你 | 觉得两个人在一起是为了生育嘛 | non-hate | non-hate [END]
嘿畜狌 | 强上 | Racism | hate [END]
黑人 | 应该回非洲去 | Racism | hate [END]
艾滋 | 警察叔叔 | others | hate [END]
贵州人 | 骂了五分钟 | Region | hate [END]
河南 | 文科一本分数线比7省低，理科一本线也只比两省高 | non-hate | non-hate [END]
txl | 复印还得是你们txl厉害 | LGBTQ | hate [END]
这人 | 还是个op | non-hate | non-hate [END]
山西 | 存在感实在是低到没人黑 | Region | hate [END]
国女 | 被玩够了分手 | Sexism, Racism | hate [SEP] 国女 | 隐瞒自己的事让国男来接盘 | Sexism, Racism | hate [END]
崇洋媚外 | 种族主义 | Racism | hate [END]
幕刃 | 应该把他自己和女性割裂开 | Sexism | hate [END]
那个女主播 | 喜欢地域歧视 | non-hate | non-hate [END]
穆加贝 | 恶魔 | non-hate | non-hate [END]
自由社会 | 所有无耻作为的遮羞布挡箭牌 | non-hate | non-hate [END]
直佬们 | 做好被强制纠正取向的准备 | LGBTQ | hate [END]
潳嘿 | 后世潳嘿 | Racism | hate [END]
性取向 | 个人的权利 | non-hate | non-hate [END]
家暴 | 让女权和男舔们抓住把柄来反击 | non-hate | non-hate [END]
反同 | 扣那多字来反同有用吗 | LGBTQ | hate [END]
她们 | 生下丑陋的哥布林 | Sexism | hate [END]
大飞柱 | 应该发到正宗大飞柱吧 | Sexism | hate [END]
女👊 | 傻逼 | Sexism | hate [END]
普信奇趣蛋 | 也就能想想了 | Sexism | hate [END]
黑龙江 | GDP确实比不过辽宁 | non-hate | non-hate [END]
同性恋 | 厌恶 | LGBTQ | hate [END]
黑人 | 看不清五官🤣 | Racism | hate [END]
中国 | 日子比日本混的好 | non-hate | non-hate [END]
喷吧 | 被冲了就不让发言了 | non-hate | non-hate [END]
河南人 | 偷井盖被歧视 | non-hate | non-hate [END]
白人 | 出美女的几率也太高了 | non-hate | non-hate [END]
河南 | 这个资本家还不配让爷去🙂 | Region | hate [END]
生意 | 女人 | Sexism | hate [END]
有些蠢人 | 活该被淘汰 | non-hate | non-hate [END]
黑人群体 | 没接触 | non-hate | non-hate [END]
贵州 | 不太了解？ | non-hate | non-hate [END]
国男 | 多学着点吧😄 | Sexism | hate [END]
黑人 | 你的活下来的概率较大 | Racism | hate [SEP] 黑人 | 恐怕已经被生死簿勾了名了 | Racism | hate [SEP] 黑人 | 拒绝黑人就是真爱生命 | Racism | hate [END]
黑小子，混血二代 | 会成为公害 | Racism | hate [END]
屈臣氏 | 这是什么鬼屈臣氏想玩什么 | non-hate | non-hate [END]
这个女人 | 去送非洲🐶🐶 | Sexism, Racism | hate [END]
排外的人 | 社会底层 | Racism | hate [END]
大龄剩女 | 从大城市回来 | Sexism, Racism | hate [END]
广东 | 那个应该不算黑？ | non-hate | non-hate [END]
这个政治 | 非常正确 | non-hate | non-hate [END]
温州 | 假皮鞋 | Region | hate [END]
基佬 | 对社会的贡献远不如一个长相不佳的直男工程师 | LGBTQ | hate [END]
基佬 | 做这么多伤天害理的事难怪会成长为基佬！ | LGBTQ | hate [END]
男人 | 没有理想，又说他没有志气，这样的男人没有用 | Sexism | hate [SEP] 女人 | 自己除了子宫，还有什么用啊 | Sexism | hate [END]
txl | 喜欢乱组cp | LGBTQ | hate [END]
同性恋 | 希望同性恋能幸福 | non-hate | non-hate [END]
她妈妈 | 不要找北边的人 | Region | hate [END]
知乎官方 | 偏向女拳立场 | non-hate | non-hate [END]
囧南方人 | 揍黑人白人也很多好吧 | Region | hate [END]
非洲 | 疟疾，霍乱和黄热！都多少死在非洲的冤魂回不去家 | Region | hate [END]
你 | 想沦为生育工具 | Sexism | hate [END]
这贴 | 看的我鸡皮疙瘩起来了 | non-hate | non-hate [END]
贵州人 | 说东北贫 | Region | hate [END]
你 | 说得对 | non-hate | non-hate [END]
我家老人 | 只喜欢看本地台那些八卦消息 | non-hate | non-hate [SEP] 我 | 看cctv13 | non-hate | non-hate [END]
河南有些人 | 讨厌 | Region | hate [END]
母🐶 | 没了男的也买不起车 | Sexism | hate [SEP] 批 | 没了男的也没地方卖 | Sexism | hate [END]
女服务员 | 冲着电话大骂然后挂了 | non-hate | non-hate [END]
黑 | 太是丑 | Racism | hate [END]
龟男 | 淘汰劣等基因 | Sexism | hate [END]
他们 | 绑架全世界 | non-hate | non-hate [END]
幕刃 | 真有意思 | Sexism | hate [END]
国内的女拳 | 拿啥跟她们比？ | Sexism | hate [END]
东北人 | 在青岛的口碑已经差到不行了 | Region | hate [END]
人类小狒狒 | 喜欢缠着人类 | Racism | hate [END]
国女生的黑人孩子 | 不会同情 | Sexism, Racism | hate [SEP] 他们的母亲 | 一样不会同情 | Sexism, Racism | hate [END]
她 | 她可以嫁给男艾滋病人嘛 | others | hate [SEP] 非洲 | 送死 | Region, others | hate [END]
黑人外教 | 崇洋媚外，低人一等 | Racism | hate [END]
广东本地人 | 说方言被骂有优越感的表示不想说话🙂 | non-hate | non-hate [END]
男人 | 在两性舆论阵地上一再失守 | Sexism | hate [SEP] 女人 | 已经实现了东食西宿 | Sexism | hate [END]
你 | 不就是个山东人吗 | non-hate | non-hate [END]
非洲 | 已经不相信非洲的任何统计数字 | Region, Racism | hate [END]
小红书 | 看到小红书这三个字儿 | non-hate | non-hate [END]
找黑人处对象的 | 鸟毛不给，滚出户 | Racism | hate [END]
你们 | 接盘 | Sexism | hate [END]
女权 | 发展到极端受害者只会是女性 | Sexism | hate [SEP] 日本和韩国的女权 | 发展已级崩塌 | Region, Sexism | hate [END]
江苏人 | 优越感那么强 | non-hate | non-hate [END]
外国语 | 要小心 | non-hate | non-hate [END]
黑人 | 我最讨厌 | Racism | hate [END]
智力不足的人 | 在讨论严肃的问题时使用该词会造成歧义 | non-hate | non-hate [END]
极端仇男癌成员 | 希望家人们留意！ | Sexism | hate [END]
素食主义者 | 全部变成绝食主义者 | non-hate | non-hate [END]
这种死飞柱 | 滚去正宗大飞柱吧 | Sexism | hate [SEP] 发这种照片的 | 建议左转隔壁厕所和飞柱吧发 | Sexism | hate [END]
知乎这话题底下大部分 | 和男生抬杠的，装理中客的 | non-hate | non-hate [END]
你 | 说得挺好的 | non-hate | non-hate [END]
b站 | 女拳集中营 | Sexism | hate [END]
东北 | 黑东北的往往想不到他这一黑 | Region | hate [SEP] 湾湾 | 有些人对湾湾都比东北热情😓 | Region | hate [END]
黑人 | 就当没生过喽 | Racism | hate [END]
好友 | 犯罪后被枪毙，尸体被卖给了医学院 | non-hate | non-hate [END]
它 | 遵纪守法也就罢了 | non-hate | non-hate [SEP] 惹事的我 | 算蹲进去我也得给他弄个半身不遂 | non-hate | non-hate [END]
蛆佬 | 感染hiv后更高 | LGBTQ, others | hate [END]
黑人 | 每天都有宣传黑人的节目 | non-hate | non-hate [END]
倪哥 | 能不能死 | non-hate | non-hate [END]
你 | 带着你的家人移民非洲吧！还有圣母的爱…… | Racism | hate [END]
河北 | 没存在感 | non-hate | non-hate [END]
这主播 | 有点实力 | non-hate | non-hate [END]
微博 | 骂枪打九头鸟 | Region | hate [END]
黑人 | 沐猩而冠 | Racism | hate [END]
人造子宫 | 赛高 | non-hate | non-hate [END]
女权师 | 看着她们每天把自己置之死地的样子，就很美妙呢 | Sexism | hate [END]
他们 | 找黑人媳妇纯属是觉得不要彩礼还能干 | Sexism, Racism | hate [SEP] 女性 | 是奔着感情去的，大傻子😑 | Sexism | hate [END]
它 | 搁楼道里养很难有? | non-hate | non-hate [END]
他们 | 尊重这些群体 | non-hate | non-hate [END]
女性 | 出轨率已打80% | non-hate | non-hate [END]
外国人 | 接受不了 | Racism | hate [END]
b站 | 下一个豆瓣 | non-hate | non-hate [SEP] A站 | 要火 | non-hate | non-hate [END]
西安 | 恨不得把西安开除国籍 | Region | hate [END]
江西人 | 为了黑而生😅 | Region, Racism | hate [END]
跪虫族 | 这种水平 | Racism | hate [END]
黑额们 | 西安似吧？ | Region | hate [SEP] 瓜怂家 | 房子都偷走 | Region | hate [END]
回民 | 为什么没有吃肥肉的回民 | non-hate | non-hate [END]
四川 | 能做到大量外送电 | non-hate | non-hate [END]
我国 | 借鉴韩国 | non-hate | non-hate [END]
东北人 | 被黑的很惨 | Region | hate [END]
无辜遭殃的人 | 自作自受 | others | hate [END]
她们 | 倒贴嫁出去 | Sexism | hate [SEP] 她们 | 别留下 | Sexism | hate [END]
黑狗 | 不是好东西 | Racism | hate [END]
好兄弟 | 别急呀 | non-hate | non-hate [END]
快手发展黑人祝福 | 心中反黑领导人 | Racism | hate [SEP] 黑人 | 心理生理双重奴役黑人喃 | Racism | hate [END]
东北人 | 表示赞同 | non-hate | non-hate [END]
浙南 | 不想被代表 | non-hate | non-hate [END]
媚黑 | 排黑目光的产物 | Sexism, Racism | hate [END]
她们 | 线上拉客 | Sexism | hate [SEP] 男人 | 还得线下赴约 | Sexism | hate [END]
你 | 自我意识过剩 | non-hate | non-hate [SEP] 你 | hui气 | non-hate | non-hate [END]
三从四德 | 糟粕 | Sexism | hate [SEP] 女权 | 反女权不要抗旧社会大旗，立马骂我并禁言了 | Sexism | hate [END]
黑河南的 | 很多 | non-hate | non-hate [END]
老婆 | 以后不把老婆裱起来供着就算家暴 | Sexism | hate [END]
男同 | 生理排斥 | LGBTQ | hate [END]
媚黑女 | 倒贴😆 | Sexism, Racism | hate [END]
中国 | 不存在种族歧视 | Racism | hate [END]
四川人 | 感觉受到的歧视也不少 | non-hate | non-hate [END]
发达的城市 | 被外来打工的吐槽 | Region | hate [SEP] 不太发达的 | 好多都出去打工可能素质不太高 | Region | hate [END]
半斤 | 八两 | non-hate | non-hate [END]
女生 | 靠比入住就行了 | Sexism | hate [END]
这肥猪幕刃 | 怎么从屠宰场跑出来了 | Sexism | hate [END]
渣滓 | 到哪里都是渣滓 | non-hate | non-hate [END]
吉林同事 | 骂她男朋友“辽宁杆子” | Region | hate [END]
孙笑川 | 女生只会报警 | Racism | hate [END]
同性恋 | 也可以跟异性结婚生小孩的没啥的 | non-hate | non-hate [END]
山东河南 | 主要的征兵地 | non-hate | non-hate [END]
同 | 反同迫在眉睫 | LGBTQ | hate [END]
这些人 | 最奇葩的一类心理障碍群体 | LGBTQ | hate [END]
南方人 | 互黑 | Region | hate [SEP] 东北人 | 共黑 | Region | hate [END]
系统 | 会删 | non-hate | non-hate [END]
黑人 | 犯罪率就较高 | Racism | hate [END]
妇女报 | 是妇联名下的么？ | non-hate | non-hate [END]
你们 | 叠buff | non-hate | non-hate [END]
nq | 觉得自己不能共情任何男性很棒 | Sexism | hate [END]
他们 | 恶心 | LGBTQ | hate [END]
华东理工大学毕业的人 | 不要交往，不要说话，不要做生意 | Region | hate [END]
你 | 信口开河 | non-hate | non-hate [END]
男的 | 可以坦白自己的pc史 | non-hate | non-hate [END]
父母 | 靠谱 | non-hate | non-hate [END]
男同 | 专门杀同性恋的 | LGBTQ | hate [END]
蝻蛆 | 少管女人的閒事好嘛真不要臉太下頭 | Sexism | hate [END]
古代封建地主和官~员 | 嘴脸，比外国人还要丑陋 | Region | hate [END]
宁 | 国人同胞在非洲下了多少蛋 | Region | hate [END]
哥们 | 勇敢反击被挂 | non-hate | non-hate [END]
一部分群体 | 有种害怕 | non-hate | non-hate [END]
牲口 | 都是这样的，做不了人事 | non-hate | non-hate [END]
有些苏北人 | 在网上对江西的态度跟仇敌一样 | Region | hate [END]
黑人同婚 | 国家宣传口的风向都是在推进和黑人同婚 | non-hate | non-hate [END]
吧里不婚不育的女权 | 出来吱一声？ | Sexism | hate [END]
她 | 预防某传染病 | non-hate | non-hate [END]
百度 | 想基佬越来越少 | LGBTQ | hate [END]
NULL | 艾呀，梅什么，湿不了[蹲] | others | hate [END]
女生 | 傻逼 | Sexism | hate [END]
奴隶姐 | 又来啦？ | Sexism, Racism | hate [END]
蝴蝶鸡 | 死的好 | Sexism | hate [END]
尼古拉斯凯奇和郭富城 | 这样才比较好证明 | non-hate | non-hate [END]
撑同的 | 全是辣鸡臭味相投 | LGBTQ | hate [END]
你家 | 有嫁内个还是咋的？ | non-hate | non-hate [END]
她们 | 把黑黄后代留在中国 | Sexism, Racism | hate [END]
变态 | 反变态 | non-hate | non-hate [END]
老实人 | 不要冤枉 | non-hate | non-hate [END]
你 | 在劳教所里就别祸害别人了 | non-hate | non-hate [END]
俩男的 | 真恶心 | LGBTQ | hate [END]
结婚 | 纯累赘 | non-hate | non-hate [END]
到处发帖的 | 引战的流量佬 | non-hate | non-hate [SEP] 那群你认为的贵物 | 没有的话你和那群你认为的贵物也没区别 | non-hate | non-hate [END]
你 | 比我高级五个阶级 | non-hate | non-hate [END]
美国嘿人 | 马丁路德金嫖娼考第一 | Racism | hate [END]
对男性崇拜不已的人 | 喜欢这种小傻瓜 | Sexism | hate [END]
舔狗 | 让他死就行了 | Sexism | hate [END]
我 | 从来没有过 | non-hate | non-hate [END]
前汪伪区前国统区的 | 地域黑 | Region | hate [END]
第三世界的国家 | 我们的兄弟 | non-hate | non-hate [END]
江苏人 | 概率上讲，这个人大概率是江苏人，不是苏北就是苏南 | non-hate | non-hate [SEP] 东北 | 内部就算有也没达到江苏的水平 | Region | hate [END]
这种女人 | 挺不能理解 | Sexism | hate [END]
男人 | 只会和男拳战斗 | Sexism | hate [END]
这帮东西 | 一元购真是这帮东西的天性 | Racism | hate [END]
同性恋 | 对于同性恋平权的话题基本是禁止不让谈的 | LGBTQ | hate [SEP] 同性恋 | 支持同性也是不对的 | LGBTQ | hate [END]
女拳组织 | 解放了男性 | Sexism | hate [END]
河南同学 | 比他高了一百分🤣🤣🤣 | non-hate | non-hate [END]
她 | 只要她别嫁给我们中国男人🐶 | Sexism | hate [END]
社交软件 | 看多了容易怀疑人生 | non-hate | non-hate [END]
他 | 让他封号 | non-hate | non-hate [END]
男权 | 成不了气候 | Sexism | hate [SEP] 女权 | 想要崛起还得让女权把舔狗龟男打的退无可退 | Sexism | hate [SEP] 男理中客舔狗龟男 | 一抓一大把 | Sexism | hate [END]
男人 | 当男人崇拜女人时，女人鄙视男人 | Sexism | hate [SEP] 女人 | 当男人用女人取乐时，女人反而崇拜男人 | Sexism | hate [END]
东北人 | 你这样跟关里那帮有啥区别 | Region | hate [END]
同 | 恶心正常人 | LGBTQ | hate [SEP] 我 | 恶心同 | LGBTQ | hate [END]
微博 | 社会影响力也是这六个软件中最大的 | non-hate | non-hate [END]
女性 | 多数感性思维容易洗脑 | Sexism | hate [END]
直男 | 不会挑礼物 | non-hate | non-hate [END]
他 | 中华民族的罪人 | non-hate | non-hate [END]
她 | 关爱了她一顿 | non-hate | non-hate [END]
背叛自己民族人 | 还少吗？ | others | hate [SEP] 精神包衣 | 不站在自己民族立场说话，反而打着公平的旗帜替外族说话 | others | hate [SEP] 汉奸 | 真不敢想战争年代是什么样 | others | hate [END]
NULL | 最好都走 | non-hate | non-hate [END]
东北上海河南 | 真不叫黑 | Region | hate [END]
东北人 | 会舔北京 | Region | hate [SEP] 东北人 | 拉着整个北方对抗南方 | Region | hate [END]
有的直男 | 即便没有接触过任何男同，也仍然反同 | LGBTQ | hate [END]
大众 | 缺乏个人实现的途径 | non-hate | non-hate [END]
你 | 马上要被打成上海人了 | non-hate | non-hate [END]
南方要饭的 | 北京天津那么多南方要饭的看不见啊 | Region, others | hate [END]
黑人 | 所谓的聪明的人的比例太少了 | Racism | hate [END]
广西 | 没那么重要 | non-hate | non-hate [END]
反同战士 | 人们正迫切地需要着反同战士的登场 | LGBTQ | hate [END]
女的 | 接受度更高 | non-hate | non-hate [END]
知乎 | 三观很正 | non-hate | non-hate [END]
我 | 高贵的中国人 | non-hate | non-hate [END]
我们辽宁人 | 不应该替某省背黑锅 | Region | hate [END]
她 | 没说错 | non-hate | non-hate [END]
流量老贼 | 人如其名 | non-hate | non-hate [END]
女权 | 喷吧也是女权它们也只会喷了 | Sexism | hate [END]
女人 | 装成女人来骗那群龟男来舔啊 | Sexism | hate [END]
被拐卖的 | 很感动🤣 | non-hate | non-hate [END]
人类进化 | 靠杂种推进的 | Racism | hate [SEP] 你圈起来养的那些个观赏动物 | 才在意纯种 | Racism | hate [SEP] 血统论 | 目的是为了给种族歧视创造合法性 | Racism | hate [END]
这样的假设 | 现实中并不存在或极端罕见 | non-hate | non-hate [END]
默 | 非我中华民族必为异类，畏威不畏德 | Racism | hate [END]
东北人 | 骂人最狠 | Region | hate [END]
曲阜和孔子 | 这不是好事吗🤣 | non-hate | non-hate [SEP] 后面那几个 | 都没听说过🤣 | non-hate | non-hate [END]
黑人 | 给ysl丢脸 | Racism | hate [END]
